Item_Identifier,Item_Weight,Item_Fat_Content,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Type,Outlet_Establishment_Year,Item_Sales
CH03,50,High,Chicharon,20,S003,Small,Micro Store C,2016,60
BR01,400,Low,Bread,125,V001,Medium,Micro Store - Main,2010,625
CH05,200,High,Chicharon,185,V001,Medium,Micro Store - Main,2010,1295
CR08,1000,Regular,Cracker,150,S003,Small,Micro Store C,2016,750
NS08,500,Low,Nuts,135,S003,Small,Micro Store C,2016,405
CH04,150,High,Chicharon,100,V001,Medium,Micro Store - Main,2010,500
NS06,1000,Low,Nuts,200,L002,Small,Micro Store B,2014,800
NS10,500,Low,Nuts,145,V001,Medium,Micro Store - Main,2010,725
NS12,500,Low,Nuts,75,S003,Small,Micro Store C,2016,450
NS13,150,Low,Nuts,75,V001,Medium,Micro Store - Main,2010,600
CH02,100,High,Chicharon,35,S003,Small,Micro Store C,2016,245
CH03,50,High,Chicharon,20,S003,Small,Micro Store C,2016,100
CH05,200,High,Chicharon,185,S003,Small,Micro Store C,2016,1480
CR15,25,Regular,Cracker,7,S003,Small,Micro Store C,2016,49
CH07,150,High,Chicharon,15,L002,Small,Micro Store B,2014,45
CH07,150,High,Chicharon,15,V001,Medium,Micro Store - Main,2010,60
CH07,150,High,Chicharon,15,V001,Medium,Micro Store - Main,2010,105
CH07,150,High,Chicharon,15,S003,Small,Micro Store C,2016,60
CR14,100,Regular,Cracker,53,V001,Medium,Micro Store - Main,2010,265
CH01,1000,High,Chicharon,190,S003,Small,Micro Store C,2016,570
BR01,400,Low,Bread,125,S003,Small,Micro Store C,2016,500
CH05,200,High,Chicharon,185,S003,Small,Micro Store C,2016,1110
CR08,1000,Regular,Cracker,150,S003,Small,Micro Store C,2016,1350
CH07,150,High,Chicharon,15,V001,Medium,Micro Store - Main,2010,45
NS08,500,Low,Nuts,135,L002,Small,Micro Store B,2014,1080
CH04,150,High,Chicharon,100,V001,Medium,Micro Store - Main,2010,900
NS06,1000,Low,Nuts,200,V001,Medium,Micro Store - Main,2010,2400
NS10,500,Low,Nuts,145,S003,Small,Micro Store C,2016,580
BR04,380,Low,Bread,125,L002,Small,Micro Store B,2014,625
BI03,1500,Low,Biscuit,290,S003,Small,Micro Store C,2016,2030
NS03,500,Low,Nuts,80,V001,Medium,Micro Store - Main,2010,720
CR15,25,Regular,Cracker,7,L002,Small,Micro Store B,2014,21
NS12,500,Low,Nuts,75,L002,Small,Micro Store B,2014,600
NS01,500,Low,Nuts,95,L002,Small,Micro Store B,2014,950
NS05,500,Low,Nuts,90,V001,Medium,Micro Store - Main,2010,630
CR05,1000,Regular,Cracker,180,V001,Medium,Micro Store - Main,2010,3420
NS03,500,Low,Nuts,80,L002,Small,Micro Store B,2014,240
BR04,380,Low,Bread,125,S003,Small,Micro Store C,2016,750
NS02,500,Low,Nuts,85,S003,Small,Micro Store C,2016,1870
NS07,500,Low,Nuts,200,V001,Medium,Micro Store - Main,2010,3400
NS07,500,Low,Nuts,200,S003,Small,Micro Store C,2016,1000
CR09,700,Regular,Cracker,140,V001,Medium,Micro Store - Main,2010,1260
NS09,500,Low,Nuts,85,S003,Small,Micro Store C,2016,680
CR01,1000,Regular,Cracker,195,V001,Medium,Micro Store - Main,2010,1560
CR11,25,Regular,Cracker,10,L002,Small,Micro Store B,2014,100
CH01,1000,High,Chicharon,190,V001,Medium,Micro Store - Main,2010,1330
CH03,50,High,Chicharon,20,S003,Small,Micro Store C,2016,180
BR01,400,Low,Bread,125,V001,Medium,Micro Store - Main,2010,5375
CH05,200,High,Chicharon,185,V001,Medium,Micro Store - Main,2010,5735
CR08,1000,Regular,Cracker,150,S003,Small,Micro Store C,2016,1200
CR15,25,Regular,Cracker,7,V001,Medium,Micro Store - Main,2010,21
CR15,25,Regular,Cracker,7,S003,Small,Micro Store C,2016,56
NS06,1000,Low,Nuts,200,V001,Medium,Micro Store - Main,2010,400
NS10,500,Low,Nuts,145,S003,Small,Micro Store C,2016,1595
BR04,380,Low,Bread,125,L002,Small,Micro Store B,2014,500
BR05,420,Low,Bread,125,V001,Medium,Micro Store - Main,2010,750
BI03,1500,Low,Biscuit,290,S003,Small,Micro Store C,2016,3190
NS03,500,Low,Nuts,80,V001,Medium,Micro Store - Main,2010,1040
NS07,500,Low,Nuts,200,L002,Small,Micro Store B,2014,2400
NS08,500,Low,Nuts,135,S003,Small,Micro Store C,2016,1485
NS12,500,Low,Nuts,75,L002,Small,Micro Store B,2014,525
CR09,700,Regular,Cracker,140,V001,Medium,Micro Store - Main,2010,1540
CH07,150,High,Chicharon,15,V001,Medium,Micro Store - Main,2010,30
BR04,380,Low,Bread,125,L002,Small,Micro Store B,2014,1625
BI03,1500,Low,Biscuit,290,S003,Small,Micro Store C,2016,2320
NS03,500,Low,Nuts,80,V001,Medium,Micro Store - Main,2010,400
NS12,500,Low,Nuts,75,L002,Small,Micro Store B,2014,300
CR09,700,Regular,Cracker,140,V001,Medium,Micro Store - Main,2010,980
CR14,100,Regular,Cracker,53,V001,Medium,Micro Store - Main,2010,530
CH05,200,High,Chicharon,185,S003,Small,Micro Store C,2016,555
BR04,380,Low,Bread,125,V001,Medium,Micro Store - Main,2010,875
BR05,420,Low,Bread,125,S003,Small,Micro Store C,2016,1500
BI03,1500,Low,Biscuit,290,V001,Medium,Micro Store - Main,2010,1740
NS03,500,Low,Nuts,80,S003,Small,Micro Store C,2016,720
CR15,25,Regular,Cracker,7,V001,Medium,Micro Store - Main,2010,77
CR15,25,Regular,Cracker,7,L002,Small,Micro Store B,2014,28
NS01,500,Low,Nuts,95,L002,Small,Micro Store B,2014,190
NS05,500,Low,Nuts,90,L002,Small,Micro Store B,2014,450
CR05,1000,Regular,Cracker,180,L002,Small,Micro Store B,2014,720
NS03,500,Low,Nuts,80,S003,Small,Micro Store C,2016,640
CR14,100,Regular,Cracker,53,V001,Medium,Micro Store - Main,2010,159
CH05,200,High,Chicharon,185,S003,Small,Micro Store C,2016,370
CH07,150,High,Chicharon,15,V001,Medium,Micro Store - Main,2010,90
CR09,700,Regular,Cracker,140,L002,Small,Micro Store B,2014,560
CR02,500,Regular,Cracker,98,V001,Medium,Micro Store - Main,2010,784
BR05,420,Low,Bread,125,L002,Small,Micro Store B,2014,375
BI03,1500,Low,Biscuit,290,S003,Small,Micro Store C,2016,6960
CR14,100,Regular,Cracker,53,V001,Medium,Micro Store - Main,2010,371
CR15,25,Regular,Cracker,7,S003,Small,Micro Store C,2016,14
CH06,150,High,Chicharon,90,V001,Medium,Micro Store - Main,2010,630
BR04,380,Low,Bread,125,L002,Small,Micro Store B,2014,1125
BR02,480,Low,Bread,125,S003,Small,Micro Store C,2016,1500
BI03,1500,Low,Biscuit,290,S003,Small,Micro Store C,2016,1160
CH06,150,High,Chicharon,90,V001,Medium,Micro Store - Main,2010,720
BR04,380,Low,Bread,125,L002,Small,Micro Store B,2014,2625
BR04,380,Low,Bread,125,L002,Small,Micro Store B,2014,3000
NS02,500,Low,Nuts,85,S003,Small,Micro Store C,2016,595
CH05,200,High,Chicharon,185,S003,Small,Micro Store C,2016,6105
CH07,150,High,Chicharon,15,L002,Small,Micro Store B,2014,255
NS01,500,Low,Nuts,95,V001,Medium,Micro Store - Main,2010,2470
BR05,420,Low,Bread,125,S003,Small,Micro Store C,2016,2125
CR15,25,Regular,Cracker,7,S003,Small,Micro Store C,2016,98
CH05,200,High,Chicharon,185,S003,Small,Micro Store C,2016,2405
NS01,500,Low,Nuts,95,V001,Medium,Micro Store - Main,2010,1900
BR04,380,Low,Bread,125,L002,Small,Micro Store B,2014,2875
BR05,420,Low,Bread,125,S003,Small,Micro Store C,2016,1875
BR04,380,Low,Bread,125,L002,Small,Micro Store B,2014,2750
CH07,150,High,Chicharon,15,S003,Small,Micro Store C,2016,90
CR15,25,Regular,Cracker,7,S003,Small,Micro Store C,2016,35
CH07,150,High,Chicharon,15,L002,Small,Micro Store B,2014,135
NS01,500,Low,Nuts,95,V001,Medium,Micro Store - Main,2010,1805
NS01,500,Low,Nuts,95,V001,Medium,Micro Store - Main,2010,1615
BR03,450,Low,Bread,125,L002,Small,Micro Store B,2014,1125
BR05,420,Low,Bread,125,S003,Small,Micro Store C,2016,1750
CH07,150,High,Chicharon,15,L002,Small,Micro Store B,2014,90
CR15,25,Regular,Cracker,7,S003,Small,Micro Store C,2016,28
CH07,150,High,Chicharon,15,L002,Small,Micro Store B,2014,30
CH06,150,High,Chicharon,90,V001,Medium,Micro Store - Main,2010,1440
BR04,380,Low,Bread,125,L002,Small,Micro Store B,2014,2500
BR02,480,Low,Bread,125,S003,Small,Micro Store C,2016,1750
CH07,150,High,Chicharon,15,V001,Medium,Micro Store - Main,2010,285
NS03,500,Low,Nuts,80,V001,Medium,Micro Store - Main,2010,1440
CR15,25,Regular,Cracker,7,S003,Small,Micro Store C,2016,161
CH05,200,High,Chicharon,185,S003,Small,Micro Store C,2016,1295
NS01,500,Low,Nuts,95,V001,Medium,Micro Store - Main,2010,1235
CH06,150,High,Chicharon,90,V001,Medium,Micro Store - Main,2010,2250
BR04,380,Low,Bread,125,L002,Small,Micro Store B,2014,2125
BR05,420,Low,Bread,125,S003,Small,Micro Store C,2016,3125
BR05,420,Low,Bread,125,S003,Small,Micro Store C,2016,2250
CR14,100,Regular,Cracker,53,V001,Medium,Micro Store - Main,2010,1166
CH07,150,High,Chicharon,15,V001,Medium,Micro Store - Main,2010,255
NS01,500,Low,Nuts,95,V001,Medium,Micro Store - Main,2010,2185
BR05,420,Low,Bread,125,L002,Small,Micro Store B,2014,2750
NS01,500,Low,Nuts,95,V001,Medium,Micro Store - Main,2010,1710
CH07,150,High,Chicharon,15,L002,Small,Micro Store B,2014,105
CR15,25,Regular,Cracker,7,L002,Small,Micro Store B,2014,77
CR02,500,Regular,Cracker,98,L002,Small,Micro Store B,2014,1862
NS06,1000,Low,Nuts,200,V001,Medium,Micro Store - Main,2010,2000
CR10,25,Regular,Cracker,5,L002,Small,Micro Store B,2014,90
CH04,150,High,Chicharon,100,V001,Medium,Micro Store - Main,2010,1900
NS11,500,Low,Nuts,100,V001,Medium,Micro Store - Main,2010,800
CR11,25,Regular,Cracker,10,S003,Small,Micro Store C,2016,50
CR07,85,Regular,Cracker,20,V001,Medium,Micro Store - Main,2010,160
CH06,150,High,Chicharon,90,V001,Medium,Micro Store - Main,2010,540
CR14,100,Regular,Cracker,53,S003,Small,Micro Store C,2016,212
CH08,500,High,Chicharon,100,V001,Medium,Micro Store - Main,2010,700
NS05,500,Low,Nuts,90,S003,Small,Micro Store C,2016,810
NS06,1000,Low,Nuts,200,V001,Medium,Micro Store - Main,2010,1600
CR14,100,Regular,Cracker,53,L002,Small,Micro Store B,2014,371
CH05,200,High,Chicharon,185,L002,Small,Micro Store B,2014,1665
BR04,380,Low,Bread,125,V001,Medium,Micro Store - Main,2010,5375
CR09,700,Regular,Cracker,140,S003,Small,Micro Store C,2016,840
CR14,100,Regular,Cracker,53,V001,Medium,Micro Store - Main,2010,106
CH05,200,High,Chicharon,185,V001,Medium,Micro Store - Main,2010,555
BR05,420,Low,Bread,125,V001,Medium,Micro Store - Main,2010,250
NS03,500,Low,Nuts,80,V001,Medium,Micro Store - Main,2010,160
NS07,500,Low,Nuts,200,S003,Small,Micro Store C,2016,2200
NS08,500,Low,Nuts,135,V001,Medium,Micro Store - Main,2010,1620
NS01,500,Low,Nuts,95,L002,Small,Micro Store B,2014,855
NS05,500,Low,Nuts,90,V001,Medium,Micro Store - Main,2010,1080
CR05,1000,Regular,Cracker,180,V001,Medium,Micro Store - Main,2010,720
NS03,500,Low,Nuts,80,L002,Small,Micro Store B,2014,640
NS02,500,Low,Nuts,85,S003,Small,Micro Store C,2016,1020
NS07,500,Low,Nuts,200,V001,Medium,Micro Store - Main,2010,800
CR09,700,Regular,Cracker,140,L002,Small,Micro Store B,2014,840
CR14,100,Regular,Cracker,53,L002,Small,Micro Store B,2014,424
CH05,200,High,Chicharon,185,L002,Small,Micro Store B,2014,740
BR04,380,Low,Bread,125,V001,Medium,Micro Store - Main,2010,750
CR09,700,Regular,Cracker,140,S003,Small,Micro Store C,2016,420
CR15,25,Regular,Cracker,7,V001,Medium,Micro Store - Main,2010,56
CH05,200,High,Chicharon,185,V001,Medium,Micro Store - Main,2010,370
CR05,1000,Regular,Cracker,180,V001,Medium,Micro Store - Main,2010,900
NS03,500,Low,Nuts,80,L002,Small,Micro Store B,2014,960
BR04,380,Low,Bread,125,S003,Small,Micro Store C,2016,1000
NS02,500,Low,Nuts,85,S003,Small,Micro Store C,2016,170
CR09,700,Regular,Cracker,140,L002,Small,Micro Store B,2014,700
CH05,200,High,Chicharon,185,L002,Small,Micro Store B,2014,925
BR04,380,Low,Bread,125,V001,Medium,Micro Store - Main,2010,1125
CR09,700,Regular,Cracker,140,S003,Small,Micro Store C,2016,700
CR14,100,Regular,Cracker,53,V001,Medium,Micro Store - Main,2010,424
CR14,100,Regular,Cracker,53,V001,Medium,Micro Store - Main,2010,477
CR15,25,Regular,Cracker,7,S003,Small,Micro Store C,2016,70
BR04,380,Low,Bread,125,L002,Small,Micro Store B,2014,875
BR05,420,Low,Bread,125,V001,Medium,Micro Store - Main,2010,625
BI03,1500,Low,Biscuit,290,S003,Small,Micro Store C,2016,2610
NS03,500,Low,Nuts,80,V001,Medium,Micro Store - Main,2010,320
NS07,500,Low,Nuts,200,L002,Small,Micro Store B,2014,1200
NS08,500,Low,Nuts,135,S003,Small,Micro Store C,2016,135
NS12,500,Low,Nuts,75,L002,Small,Micro Store B,2014,150
NS05,500,Low,Nuts,90,V001,Medium,Micro Store - Main,2010,540
CR05,1000,Regular,Cracker,180,L002,Small,Micro Store B,2014,1260
CR14,100,Regular,Cracker,53,L002,Small,Micro Store B,2014,159
BR05,420,Low,Bread,125,V001,Medium,Micro Store - Main,2010,1125
NS07,500,Low,Nuts,200,S003,Small,Micro Store C,2016,400
NS08,500,Low,Nuts,135,L002,Small,Micro Store B,2014,675
NS12,500,Low,Nuts,75,S003,Small,Micro Store C,2016,600
NS05,500,Low,Nuts,90,L002,Small,Micro Store B,2014,540
CR05,1000,Regular,Cracker,180,V001,Medium,Micro Store - Main,2010,1620
CR09,700,Regular,Cracker,140,V001,Medium,Micro Store - Main,2010,280
CR09,700,Regular,Cracker,140,L002,Small,Micro Store B,2014,2380
CH05,200,High,Chicharon,185,L002,Small,Micro Store B,2014,2220
NS12,500,Low,Nuts,75,V001,Medium,Micro Store - Main,2010,300
CR02,500,Regular,Cracker,98,S003,Small,Micro Store C,2016,686
BR02,480,Low,Bread,125,V001,Medium,Micro Store - Main,2010,500
CR07,85,Regular,Cracker,20,V001,Medium,Micro Store - Main,2010,260
CR15,25,Regular,Cracker,7,V001,Medium,Micro Store - Main,2010,42
CR10,25,Regular,Cracker,5,L002,Small,Micro Store B,2014,15
CR11,25,Regular,Cracker,10,L002,Small,Micro Store B,2014,70
CH07,150,High,Chicharon,15,V001,Medium,Micro Store - Main,2010,405
CR14,100,Regular,Cracker,53,V001,Medium,Micro Store - Main,2010,2226
CH01,1000,High,Chicharon,190,S003,Small,Micro Store C,2016,1330
CR08,1000,Regular,Cracker,150,S003,Small,Micro Store C,2016,3150
NS08,500,Low,Nuts,135,L002,Small,Micro Store B,2014,405
CH04,150,High,Chicharon,100,V001,Medium,Micro Store - Main,2010,600
NS10,500,Low,Nuts,145,S003,Small,Micro Store C,2016,435
CR08,1000,Regular,Cracker,150,S003,Small,Micro Store C,2016,600
CR10,25,Regular,Cracker,5,L002,Small,Micro Store B,2014,45
CR11,25,Regular,Cracker,10,L002,Small,Micro Store B,2014,40
NS06,1000,Low,Nuts,200,V001,Medium,Micro Store - Main,2010,1200
NS10,500,Low,Nuts,145,S003,Small,Micro Store C,2016,1740
CR08,1000,Regular,Cracker,150,S003,Small,Micro Store C,2016,2100
NS12,500,Low,Nuts,75,V001,Medium,Micro Store - Main,2010,525
CR15,25,Regular,Cracker,7,S003,Small,Micro Store C,2016,63
CR06,45,Regular,Cracker,35,S003,Small,Micro Store C,2016,245
CR08,1000,Regular,Cracker,150,S003,Small,Micro Store C,2016,1050
CR11,25,Regular,Cracker,10,L002,Small,Micro Store B,2014,80
CR15,25,Regular,Cracker,7,V001,Medium,Micro Store - Main,2010,35
NS06,1000,Low,Nuts,200,V001,Medium,Micro Store - Main,2010,1800
NS10,500,Low,Nuts,145,S003,Small,Micro Store C,2016,1305
BR02,480,Low,Bread,125,V001,Medium,Micro Store - Main,2010,750
CR07,85,Regular,Cracker,20,V001,Medium,Micro Store - Main,2010,60
CH07,150,High,Chicharon,15,V001,Medium,Micro Store - Main,2010,180
CH07,150,High,Chicharon,15,V001,Medium,Micro Store - Main,2010,165
CR15,25,Regular,Cracker,7,V001,Medium,Micro Store - Main,2010,14
NS10,500,Low,Nuts,145,S003,Small,Micro Store C,2016,870
CR08,1000,Regular,Cracker,150,S003,Small,Micro Store C,2016,1650
NS12,500,Low,Nuts,75,V001,Medium,Micro Store - Main,2010,675
CR06,45,Regular,Cracker,35,S003,Small,Micro Store C,2016,140
CR08,1000,Regular,Cracker,150,V001,Medium,Micro Store - Main,2010,1200
CH05,200,High,Chicharon,185,S003,Small,Micro Store C,2016,1665
NS12,500,Low,Nuts,75,S003,Small,Micro Store C,2016,750
BR02,480,Low,Bread,125,V001,Medium,Micro Store - Main,2010,625
CR11,25,Regular,Cracker,10,S003,Small,Micro Store C,2016,90
CR09,700,Regular,Cracker,140,S003,Small,Micro Store C,2016,280
CH05,200,High,Chicharon,185,L002,Small,Micro Store B,2014,1480
CH07,150,High,Chicharon,15,S003,Small,Micro Store C,2016,135
BR04,380,Low,Bread,125,L002,Small,Micro Store B,2014,250
CR09,700,Regular,Cracker,140,V001,Medium,Micro Store - Main,2010,1680
CR14,100,Regular,Cracker,53,V001,Medium,Micro Store - Main,2010,1219
CR06,45,Regular,Cracker,35,S003,Small,Micro Store C,2016,210
CR07,85,Regular,Cracker,20,S003,Small,Micro Store C,2016,40
CR08,1000,Regular,Cracker,150,L002,Small,Micro Store B,2014,1200
CR11,25,Regular,Cracker,10,V001,Medium,Micro Store - Main,2010,40
NS10,500,Low,Nuts,145,V001,Medium,Micro Store - Main,2010,1305
CR08,1000,Regular,Cracker,150,S003,Small,Micro Store C,2016,450
NS12,500,Low,Nuts,75,S003,Small,Micro Store C,2016,675
NS03,500,Low,Nuts,80,L002,Small,Micro Store B,2014,480
CH04,150,High,Chicharon,100,V001,Medium,Micro Store - Main,2010,300
NS05,500,Low,Nuts,90,S003,Small,Micro Store C,2016,1170
NS07,500,Low,Nuts,200,S003,Small,Micro Store C,2016,1200
NS12,500,Low,Nuts,75,S003,Small,Micro Store C,2016,375
CH03,50,High,Chicharon,20,V001,Medium,Micro Store - Main,2010,160
BR04,380,Low,Bread,125,S003,Small,Micro Store C,2016,375
NS13,150,Low,Nuts,75,S003,Small,Micro Store C,2016,450
NS04,500,Low,Nuts,85,S003,Small,Micro Store C,2016,425
BR09,60,Low,Bread,20,S003,Small,Micro Store C,2016,60
NS10,500,Low,Nuts,145,L002,Small,Micro Store B,2014,580
NS08,500,Low,Nuts,135,V001,Medium,Micro Store - Main,2010,135
NS05,500,Low,Nuts,90,S003,Small,Micro Store C,2016,1440
BR05,420,Low,Bread,125,V001,Medium,Micro Store - Main,2010,1000
CR02,500,Regular,Cracker,98,S003,Small,Micro Store C,2016,294
BR02,480,Low,Bread,125,S003,Small,Micro Store C,2016,1000
BR01,400,Low,Bread,125,V001,Medium,Micro Store - Main,2010,1125
CR08,1000,Regular,Cracker,150,V001,Medium,Micro Store - Main,2010,1650
BR05,420,Low,Bread,125,S003,Small,Micro Store C,2016,1125
BR05,420,Low,Bread,125,S003,Small,Micro Store C,2016,3875
CH07,150,High,Chicharon,15,L002,Small,Micro Store B,2014,360
CR08,1000,Regular,Cracker,150,S003,Small,Micro Store C,2016,4500
CR02,500,Regular,Cracker,98,V001,Medium,Micro Store - Main,2010,1372
BR05,420,Low,Bread,125,V001,Medium,Micro Store - Main,2010,1250
BI03,1500,Low,Biscuit,290,V001,Medium,Micro Store - Main,2010,4930
CR14,100,Regular,Cracker,53,L002,Small,Micro Store B,2014,742
CR15,25,Regular,Cracker,7,S003,Small,Micro Store C,2016,154
CR05,1000,Regular,Cracker,180,V001,Medium,Micro Store - Main,2010,3240
CR02,500,Regular,Cracker,98,L002,Small,Micro Store B,2014,1470
CR02,500,Regular,Cracker,98,S003,Small,Micro Store C,2016,1372
BR05,420,Low,Bread,125,S003,Small,Micro Store C,2016,2875
BI03,1500,Low,Biscuit,290,V001,Medium,Micro Store - Main,2010,5220
